id,question_text,option_a,option_b,option_c,option_d,correct_option,topic,difficulty,explanation,image_reference
1,Which structure produces cerebrospinal fluid?,Choroid plexus,Arachnoid villi,Pineal gland,Hypothalamus,a,CSF circulation,1,"The choroid plexus, a specialized vascular structure located within the ventricles, is the primary site of cerebrospinal fluid production. Arachnoid villi are instead responsible for CSF absorption into the venous system.",
2,Which cranial nerve controls smell?,CN II,CN I,CN V,CN VII,b,Cranial nerves,1,"The olfactory nerve (cranial nerve I) carries sensory information related to smell from the nasal mucosa to the brain. CN II is the optic nerve for vision, while CN V and VII serve somatosensory and facial functions respectively.",
3,Which lobe is primarily responsible for vision?,Frontal,Temporal,Occipital,Parietal,c,Cortex,1,"The occipital lobe contains the primary visual cortex (area V1), which is the first cortical area to receive and process visual input from the lateral geniculate nucleus. Damage to this region typically results in visual field defects.",
4,The cerebellum is mainly involved in:,Memory,Balance and coordination,Language,Emotion,b,Cerebellum,1,"The cerebellum fine-tunes motor activity, ensuring smooth, coordinated movements and maintaining balance and posture. Although it has connections to cognitive and emotional circuits, its primary role is motor coordination.",
5,Which structure connects the two cerebral hemispheres?,Internal capsule,Corpus callosum,Hippocampus,Basal ganglia,b,White matter,1,"The corpus callosum is the major commissural fiber bundle connecting the left and right cerebral hemispheres, allowing interhemispheric communication. The internal capsule instead carries ascending and descending projection fibers.",
6,Broca's area controls:,Vision,Sensation,Speech production,Hearing,c,Cortex,1,"Broca's area, typically in the dominant (usually left) inferior frontal gyrus, is critical for motor aspects of speech production. Lesions here cause non-fluent (expressive) aphasia with effortful, halting speech but relatively preserved comprehension.",
7,Which cranial nerve innervates the lateral rectus muscle?,CN III,CN IV,CN VI,CN VII,c,Cranial nerves,1,"The abducens nerve (cranial nerve VI) innervates the lateral rectus muscle, which abducts the eye. CN III innervates most other extraocular muscles, and CN IV supplies the superior oblique muscle.",
8,The medulla regulates:,Vision,Respiration and cardiac control,Hearing,Motor planning,b,Brainstem,1,"The medulla oblongata contains vital autonomic centers controlling respiration, heart rate, and blood pressure. Damage to these centers can be life-threatening due to failure of basic cardiorespiratory functions.",
9,Where is the primary motor cortex located?,Precentral gyrus,Postcentral gyrus,Calcarine sulcus,Heschl's gyrus,a,Cortex,1,"The primary motor cortex lies in the precentral gyrus of the frontal lobe and is responsible for voluntary motor control, arranged somatotopically as the motor homunculus. The postcentral gyrus behind it is the primary somatosensory cortex.",
10,The spinal cord ends at approximately which vertebral level in adults?,L2-S1,C1,C7,L1-L2,d,Spinal cord,1,"In adults, the spinal cord typically terminates at the level of L1–L2 as the conus medullaris, below which the cauda equina continues as nerve roots. In infants, the cord extends slightly lower and ascends with growth.",
11,Which tract carries pain and temperature sensation?,Dorsal column,Spinothalamic tract,Corticospinal tract,Cerebellar pathway,b,Tracts,2,"The spinothalamic tract (anterolateral system) carries pain, temperature, and crude touch sensations, crossing within a few segments of entry in the spinal cord. In contrast, the dorsal columns carry vibration and fine touch sensations.",
12,The hippocampus is mainly involved in:,Motor control,Language processing,Memory formation,Reflexes,c,Temporal lobe,2,"The hippocampus, located in the medial temporal lobe, plays a central role in consolidation of short-term memories into long-term declarative memory. Bilateral damage can cause profound anterograde amnesia.",
13,Damage to Wernicke’s area results in:,Non-fluent speech,Loss of smell,Fluent but nonsensical speech,Paralysis,c,Cortex,2,"Lesions in Wernicke’s area, typically in the dominant posterior superior temporal gyrus, cause fluent aphasia where speech output is fluent but often meaningless, with impaired comprehension. Patients are often unaware of their language deficits.",
14,Which artery supplies the lateral cerebral hemispheres?,Vertebral artery,Middle cerebral artery,Posterior cerebral artery,Anterior spinal artery,b,Cerebral blood supply,2,"The middle cerebral artery (MCA) supplies most of the lateral surfaces of the frontal, parietal, and temporal lobes. MCA strokes commonly cause contralateral face and arm weakness and sensory loss, and aphasia if the dominant hemisphere is involved.",
15,The substantia nigra degeneration is associated with:,Alzheimer’s disease,Parkinson’s disease,Stroke,ALS,b,Basal ganglia,2,"Degeneration of dopaminergic neurons in the substantia nigra pars compacta is a hallmark of Parkinson’s disease, leading to bradykinesia, rigidity, and resting tremor. These neurons normally modulate basal ganglia circuits that facilitate movement.",
16,The optic chiasm lesion causes:,Tunnel vision,Bitemporal hemianopia,Monocular blindness,Quadrantanopia,b,Visual pathways,2,"A lesion compressing the central optic chiasm, such as a pituitary adenoma, disrupts decussating nasal retinal fibers and causes bitemporal hemianopia. Monocular blindness occurs with optic nerve lesions, not chiasmal lesions.",
17,Which structure contains dopamine-producing neurons?,Pons,Substantia nigra,Globus pallidus,Amygdala,b,Basal ganglia,2,"The substantia nigra contains dopaminergic neurons that project to the striatum and modulate basal ganglia output. Loss of these neurons results in the motor symptoms of Parkinsonism, whereas the globus pallidus is primarily a GABAergic output nucleus.",
18,The cauda equina consists of:,Cranial nerves,Descending spinal nerve roots,Dural venous sinuses,Ascending fibers,b,Spinal cord,2,The cauda equina is a bundle of lumbar and sacral nerve roots that descend within the lumbar cistern below the conus medullaris. Compression of these roots can cause cauda equina syndrome with saddle anesthesia and bladder dysfunction.,
19,Which nerve exits the brainstem dorsally?,CN III,CN IV,CN V,CN IX,b,Cranial nerves,2,The trochlear nerve (cranial nerve IV) is unique in that it exits the brainstem dorsally from the midbrain and then decussates. Most other cranial nerves emerge ventrally or laterally from the brainstem.,
20,The arcuate fasciculus connects:,Motor and sensory cortex,Broca’s and Wernicke’s areas,Hippocampus and thalamus,Frontal and occipital lobes,b,White matter,2,"The arcuate fasciculus is an association fiber tract connecting Broca’s and Wernicke’s areas in the dominant hemisphere. Lesions can cause conduction aphasia, characterized by impaired repetition with relatively preserved comprehension and fluency.",
21,The fourth ventricle is located between:,Pons and cerebellum,Thalamus and cortex,Hypothalamus and pituitary,Midbrain and pons,a,CSF circulation,2,"The fourth ventricle lies dorsal to the pons and upper medulla and ventral to the cerebellum, forming part of the rhomboid fossa. CSF from the fourth ventricle exits via the median and lateral apertures to enter the subarachnoid space.",
22,Purkinje cells are characteristic of:,Cortex,Brainstem,Cerebellum,Spinal cord,c,Cerebellum,2,Purkinje cells are large inhibitory neurons that form the sole output of the cerebellar cortex to the deep cerebellar nuclei. They integrate excitatory and inhibitory inputs from mossy and climbing fibers to fine-tune motor coordination.,
23,Which layer of meninges is tightly adhered to the brain surface?,Dura mater,Arachnoid mater,Pia mater,Choroid layer,c,Meninges,2,"The pia mater is a delicate vascular membrane that closely follows the contours of the brain and spinal cord. The arachnoid mater lies above it, separated by the subarachnoid space, while the dura mater is the tough outer meningeal layer.",
24,Which nucleus is involved in emotional regulation?,Edinger-Westphal nucleus,Amygdala,Nucleus ambiguus,Red nucleus,b,Limbic system,2,"The amygdala, part of the limbic system in the medial temporal lobe, is crucial for processing fear, threat, and other emotional responses. Lesions can blunt emotional reactions, while hyperactivity is implicated in anxiety disorders.",
25,The internal capsule carries:,Only sensory fibers,Only motor fibers,Both ascending and descending tracts,CSF,c,White matter,2,The internal capsule is a compact white matter structure containing both ascending sensory and descending motor projection fibers between cortex and subcortical structures. Small lesions here can cause dense contralateral motor and sensory deficits.,
26,The limbic system mainly controls:,Motor control,Sensory input,Emotion and memory,Balance,c,Limbic system,2,"The limbic system, including structures like the hippocampus, amygdala, and cingulate gyrus, is involved in emotion, motivation, and memory. Dysfunction can manifest as mood changes, anxiety, or memory impairment.",
